"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"2729",NA,"DSCN5633","TM","17077","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2730",NA,"DSCN5637","TM","17128","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2731",NA,"DSCN5641","TM","11564","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2732",NA,"DSCN5645","TM","4726","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2733",NA,"DSCN5649","TM","12109","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2734",NA,"DSCN5653","TM","AZ 2228","Extant","LM2","R","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2735",NA,"IMG_1062","Amathole","15286","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2736",NA,"IMG_1075","Amathole","15290","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2737",NA,"IMG_1085","Amathole","15293","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2738",NA,"IMG_1093","Amathole","15282","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2739",NA,"IMG_1102","Amathole","15284","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2740",NA,"IMG_1112","Amathole","15285","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2741",NA,"IMG_1122","Amathole","15287","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2742",NA,"IMG_1130","Amathole","15288","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2743",NA,"IMG_1137","Amathole","15291","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2744",NA,"IMG_1146","Amathole","15294","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2745",NA,"IMG_5067","FMNH","26962","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2746",NA,"IMG_5058","FMNH","26964","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2747",NA,"IMG_5044","FMNH","29654","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2748",NA,"IMG_5051","FMNH","29655","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2749",NA,"IMG_5006","FMNH","66874","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2750",NA,"IMG_5021","FMNH","66875","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2751",NA,"IMG_5011","FMNH","66987","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2752",NA,"IMG_5029","FMNH","127972","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2753",NA,"IMG_5036","FMNH","127975","Extant","LM2","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
"2754",NA,"DSCN3790","NMB","9319","Extant","LM3","R","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2755",NA,"DSCN3794","NMB","9752","Extant","LM3","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
